NB_OBJ,NB_SYS,SYSTEM_NAME,OBJ_CAT,OBJ_NAME,RA,DEC,EPOCH,PARALLAX,PARALLAX_ERROR,PARALLAX_BIBCODE,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR,PM_BIBCODE,RV,RV_ERROR,RV_BIBCODE,SP_TYPE,SP_BIBCODE,SP_METHOD,G_CODE,G,G_ESTIMATE,GBP,GRP,U,B,V,R,I,J,H,K,SYSTEM_BIBCODE,EXOPLANET_COUNT,GAIA_DR2,GAIA_EDR3,SIMBAD_NAME,COMMON_NAME,GJ,HD,HIP,COMMENT
149,81,BR Psc,LM,BR Psc,357.306603823134,2.396917944196,2016,169.21632962255,0.028058065,2020yCat.1350....0G,992.720389028549,0.035269726,-968.806466326766,0.019325616,2020yCat.1350....0G,-71.131,0.0005,2018A&A...616A...7S,M1,2019AJ....157...63K,Opt Spec,3,8.152917,,9.216571,7.120805,11.532,10.427,8.993,8.029,6.946,5.827,5.282,5.043,,,Gaia DR2 2739689239311660672,Gaia EDR3 2739689239311660672,BR Psc,,GJ 908,,HIP 117473,...
150,82,HD 180617,LM,GJ 752 A,289.227651503619,5.16297630266859,2016,169.061505281574,0.023926072,2020yCat.1350....0G,-579.080529659328,0.024688331,-1332.86771635424,0.021144519,2020yCat.1350....0G,35.612,0.025,2020A&A...636A..36L,M3,2014MNRAS.443.2561G,Opt Spec,3,8.099911,,9.355669,6.97715,11.768,10.63,9.115,8.076,6.782,5.583,4.929,4.673,2018A&A...618A.115K,1,Gaia DR2 4293318823182081408,Gaia EDR3 4293318823182081408,GJ 752 A,V1428 Aql,GJ 752 A,HD 180617,HIP 94761,...
151,82,HD 180617,Planet,GJ 752 A b,289.227651503619,5.16297630266859,2016,169.061505281574,0.023926072,FROM:GJ752A,,,,,,,,,,,,,,,,,,,,,,,,,2020arXiv201108867B,,,,,,,,,...
152,82,HD 180617,LM,GJ 752 B,289.237373696754,5.14437331543419,2016,168.953707418574,0.0668329,2020yCat.1350....0G,-598.761267442191,0.071685836,-1366.06349698638,0.06496898,2020yCat.1350....0G,35.731,0.028,2020A&A...636A..36L,M8,2015A&A...577A.128A,Opt Spec,3,14.3032875,,17.74616,12.774753,,,17.3,,,9.908,9.226,8.765,2018A&A...618A.115K,,Gaia DR2 4293315765165489536,Gaia EDR3 4293315765165489536,GJ 752 B,vB 10,GJ 752 B,,,...
153,83,CD-40 9712,LM,CD-40 9712,233.046927424834,-41.2801740869719,2016,168.996507318946,0.027027713,2020yCat.1350....0G,-1176.44702361986,0.029093288,-1030.97033490259,0.020793993,2020yCat.1350....0G,21.459,0.0004,2018A&A...616A...7S,M2.5,1995AJ....110.1838R,Opt Spec,3,8.2741785,,9.566771,7.139158,11.918,10.815,9.311,8.265,6.947,5.647,5.025,4.759,,,Gaia DR2 6002807341299977216,Gaia EDR3 6002807341299977216,CD-40 9712,,GJ 588,,HIP 76074,...
154,84,eta Cas,*,eta Cas A,12.2852273815244,57.8127281255901,2016,168.832160340194,0.1663396,2020yCat.1350....0G,1078.60916666962,0.1266705,-551.133420218551,0.1531009,2020yCat.1350....0G,8.404,0.0037,2018A&A...616A...7S,F9,2001AJ....121.2148G,Opt Phot,3,3.3200667,,3.7355075,2.8486214,4.04,4.02,3.44,2.94,2.58,2.37,2.02,1.99,1998A&A...338..455F,,Gaia DR2 425040000951479424,Gaia EDR3 425040000962559616,eta Cas A,Achird,GJ 34 A,HD 4614 A,HIP 3821,...
155,84,eta Cas,*,eta Cas B,12.2811847642153,57.8157391885541,2016,168.718561188259,0.021581342,2020yCat.1350....0G,1144.69339444083,0.018388271,-469.667618529506,0.019459886,2020yCat.1350....0G,10.45,0.14,2018yCat.1345....0G,K7e,2015A&A...577A.128A,Opt Spec,3,6.762044,,7.6099744,5.8559637,,8.9,7.51,6.9,,,4.147,3.881,1998A&A...338..455F,,Gaia DR2 425040000959067008,Gaia EDR3 425040000962497792,eta Cas B,,GJ 34 B,HD 4614 B,,...
156,85,36 Oph,*,36 Oph A,258.835116964593,-26.6078978320507,2016,168.13027793749,0.10807573,2020yCat.1350....0G,-465.860774287322,0.11067274,-1141.16769499068,0.07299198,2020yCat.1350....0G,0.44,0.1,2018A&A...619A..81H,K2,2006A&A...460..695T,Opt Spec,3,4.828591,,5.282556,4.2228065,,5.93,5.08,,,,,,1989A&A...225..369C,,Gaia DR2 4109030160308320128,Gaia EDR3 4109030160308317312,36 Oph A,Guniibuu,GJ 663 A,HD 155886,,...
157,85,36 Oph,*,36 Oph B,258.834120178128,-26.6068066153994,2016,168.003078856296,0.13433942,2020yCat.1350....0G,-498.600199899227,0.12304996,-1149.15814250218,0.08629262,2020yCat.1350....0G,0.1,0.13,2018A&A...619A..81H,K1,2006A&A...460..695T,Opt Spec,3,4.831335,,5.2874,4.2290955,,5.88,5.03,,,,,,1989A&A...225..369C,,Gaia DR2 4109030160308317312,Gaia EDR3 4109030160308320128,36 Oph B,,GJ 663 B,HD 155885,HIP 84405,...
158,85,36 Oph,*,36 Oph C,259.053294100096,-26.5511460948848,2016,167.961679543023,0.031054644,2020yCat.1350....0G,-479.573232739595,0.031484798,-1124.33168336544,0.019801429,2020yCat.1350....0G,-0.09,0.08,2018A&A...619A..81H,K5,2006A&A...460..695T,Opt Spec,3,5.889863,,6.53097,5.116134,,7.5,6.34,,4.8,4.155,,3.466,1989A&A...225..369C,,Gaia DR2 4109034455276324608,Gaia EDR3 4109034455276324608,36 Oph C,,GJ 664,HD 156026,HIP 84478,...
159,86,HD 155876,LM,GJ 661 A,258.034215983654,45.659059737301,2016,167.29,5.2,2007A&A...474..653V,348.59,5.68,-1624.84,6.8,2007A&A...474..653V,-30.9,0.5,2016A&A...596A.116S,M3,2003AJ....126.2048G,Opt Spec,3,8.8601,,9.607755,7.1363735,,10.25,9.523,9.3,,5.55,5.066,4.834,1999A&A...341..121S,,Gaia DR2 1364668825433454848,Gaia EDR3 1364668825433448704,GJ 661,Furuhjelm 46 A,GJ 661 A,HD 155876 A,HIP 84140,...
160,86,HD 155876,LM?,GJ 661 B,258.034215983654,45.659059737301,2016,167.29,5.2,FROM:GJ661A,348.59,5.68,-1624.84,6.8,FROM:GJ661,,,,,,,3,9.1825,,9.640916,7.123503,,,,,,,,,1999A&A...341..121S,,,Gaia EDR3 1364668825433435776,GJ 661,Furuhjelm 46 B,GJ 661 B,HD 155876 B,,Possible M dwarf
161,87,YZ CMi,LM,YZ CMi,116.165835930882,3.55048444548832,2016,166.976896526667,0.034340866,2020yCat.1350....0G,-347.781601334718,0.04000208,-445.701779935048,0.02487343,2020yCat.1350....0G,26.707,0.032,2020A&A...636A..36L,M4e,2015AJ....149..106D,Opt Spec,3,9.692206,,11.416927,8.419889,13.761,12.831,11.225,9.958,8.263,6.581,6.005,5.698,,,Gaia DR2 3136952686035250688,Gaia EDR3 3136952686035250688,YZ CMi,,GJ 285,,HIP 37766,Candidate pre-main-sequence star in beta Pic association
162,88,WISE J154151.65-225024.9,BD,WISE J154151.65-225024.9,235.463692,-22.840586,2015.4,166.9,2,2021ApJS..253....7K,-902.8,0.9,-91.4,0.9,2021ApJS..253....7K,,,,Y0.5,2011ApJS..197...19K,NIR Spec,20,,23.78,,,,,,,,20.99,21.07,21.7,,,,,WISE J154151.65-225024.9,,,,,...
163,89,G 158-50,LM,G 158-50 A,3.86988026878801,-16.1365716511738,2016,166.6,0.3,2016AJ....152..141B,731.83,12.81,-607.73,5.52,2007A&A...474..653V,-26.43,0.1,2002ApJS..141..503N,M4,2002AJ....123.2002H,Opt Spec,3,10.267,,11.725416,8.906687,14.49,13.187,11.483,10.273,8.711,7.215,6.71,6.39,1998AJ....116.1440H,,Gaia DR2 2368293487260807040,Gaia EDR3 2368293487261055488,G 158-50,,GJ 1005,,HIP 1242,Hipparcos parallax less accurate
164,89,G 158-50,LM,G 158-50 B,3.86988026878801,-16.1365716511738,2016,166.6,0.3,FROM:G158-50A,731.83,12.81,-607.73,5.52,FROM:G158-50,,,,M4,1997AJ....113.2246R,Opt Spec,10,,10.02,,,,,,,8.131,,,,1998AJ....116.1440H,,,,G 158-50,,,,,0.275 arscec delta_I=0.58 2017A&A...597A..47C
165,90,IRAS 20079-3614,*,GJ 783 A,302.802269043311,-36.1082165373698,2016,166.327204279678,0.106505066,2020yCat.1350....0G,458.881738497488,0.09990689,-1576.73210986875,0.07346191,2020yCat.1350....0G,-129.247,0.0011,2018A&A...616A...7S,K2.5,2006AJ....132..161G,Opt Spec,3,5.033037,,5.506255,4.404858,,5.44,5.32,,,,,,2007A&A...468..721B,,Gaia DR2 6697578465310949376,Gaia EDR3 6697578465310949376,GJ 783 A,,GJ 783 A,HD 191408 A,HIP 99461,...
166,90,IRAS 20079-3614,LM,GJ 783 B,302.802269043311,-36.1082165373698,2016,166.327204279678,0.106505066,FROM:GJ783A,458.881738497488,0.09990689,-1576.73210986875,0.07346191,FROM:GJ783A,,,,M3.5,1985ApJS...59..197B,Opt Spec,10,,9.53,,,,,,,,,,,2007A&A...468..721B,,,,GJ 783 B,,GJ 783 B,HD 191408 B,,EDR3 6697578465310948992 compatible with the 4.3 arcsec separation given in WDS. However the value of BP-RP = 2.161 for the companion corresponds roughly to an M2V star for which M_G=9 would predict a parallax of 50 mas
167,91,e Eri,*,HD 20794,50.0003436189422,-43.0665525278342,2016,165.524209557557,0.07836173,2020yCat.1350....0G,3035.01731561514,0.0812309,726.964481584924,0.101254486,2020yCat.1350....0G,87.882,0.0005,2018A&A...616A...7S,G8,2006AJ....132..161G,Opt Spec,3,4.063915,,4.440891,3.5082927,5.2,4.98,4.27,3.65,3.25,2.99,2.6,2.53,,2,Gaia DR2 4847957293277762560,Gaia EDR3 4847957293278177024,e Eri,,GJ 139,HD 20794,HIP 15510,HD 20794 c e: candidate planets 2011A&A...534A..58P 2017A&A...605A.103F
168,91,e Eri,Planet,HD 20794 b,50.0003436189422,-43.0665525278342,2016,165.524209557557,0.07836173,FROM:HD20794,,,,,,,,,,,,,,,,,,,,,,,,,2011A&A...534A..58P,,,,,,,,,...
169,91,e Eri,Planet,HD 20794 d,50.0003436189422,-43.0665525278342,2016,165.524209557557,0.07836173,FROM:HD20794,,,,,,,,,,,,,,,,,,,,,,,,,2011A&A...534A..58P,,,,,,,,,...
170,92,QY Aur,LM,GJ 268 A,107.505143404489,38.5252694196459,2016,165.214699433729,0.06364261,2020yCat.1350....0G,-439.42044672817,0.065588385,-944.793489602922,0.058826566,2020yCat.1350....0G,37.9,0.5,2004MNRAS.349.1069K,M5e,1986AJ.....92.1424T,Opt Phot,3,9.934659,,11.747847,8.641891,,13.26,11.52,11.12,,6.731,6.152,5.846,2012ApJ...760...55B,,Gaia DR2 946632924006923776,Gaia EDR3 946632924007399936,GJ 268 A,QY Aur A,GJ 268 A,,HIP 34603,...
171,92,QY Aur,LM,GJ 268 B,107.505143404489,38.5252694196459,2016,165.214699433729,0.06364261,FROM:GJ268A,-439.42044672817,0.065588385,-944.793489602922,0.058826566,FROM:GJ268A,,,,M5e,1986AJ.....92.1424T,Opt Phot,10,,10.92,,,,,,,,,,,2012ApJ...760...55B,,,,GJ 268 B,QY Aur B,GJ 268 B,,,...
172,93,del Pav,*,del Pav,302.19503988923,-66.1870912844173,2016,163.954414538317,0.12218077,2020yCat.1350....0G,1211.76062709996,0.07212469,-1130.2369049549,0.10327922,2020yCat.1350....0G,-21.543,0.0014,2018A&A...616A...7S,G8,2006AJ....132..161G,Opt Spec,3,3.3641381,,3.8463583,2.8270798,4.78,4.32,3.56,2.95,2.61,2.45,2.11,2.04,,,Gaia DR2 6427464325637241728,Gaia EDR3 6427464123776727168,del Pav,,GJ 780,HD 190248,HIP 99240,Subgiant
173,94,SIMP J013656.5+093347.3,BD,SIMP J013656.5+093347.3,24.2412497879196,9.56307045475583,2016,163.447845696587,0.4628947,2020yCat.1350....0G,1238.24393740264,0.5540863,-16.1555717968699,0.32792777,2020yCat.1350....0G,,,,T2,2010ApJ...710.1142B,NIR Spec,3,19.486692,,21.107285,17.640982,,,,,,13.455,12.771,12.562,,,Gaia DR2 2572901021957789568,Gaia EDR3 2572901021957789568,SIMP J013656.5+093347.3,,,,,...
174,95,2MASSI J0937347+293142,BD,2MASSI J0937347+293142,144.395332,29.528053,2000,162.85,3.88,2012ApJS..201...19D,973,6,-1298,5,2009AJ....137....1F,,,,T7,2003AJ....126.2487B,NIR Spec,20,,23.94,,,,,,,,14.648,14.703,15.267,,,,,2MASSI J0937347+293142,,,,,...
175,96,HD 191849,LM,HD 191849,303.477390556,-45.1647305424764,2016,162.217100079186,0.022484917,2020yCat.1350....0G,778.33098211521,0.02004672,-159.938824972824,0.017635535,2020yCat.1350....0G,-32.961,0.0012,2018A&A...616A...7S,M0,2006A&A...460..695T,Opt Spec,3,7.2426615,,8.190446,6.278736,10.627,9.419,7.966,7.053,6.124,5.122,4.525,4.281,,,Gaia DR2 6673000841376349696,Gaia EDR3 6673000841376349696,HD 191849,,GJ 784,HD 191849,HIP 99701,...
176,97,WISE J220905.73+271143.9,BD,WISE J220905.73+271143.9,332.275805,27.193641,2015.4,161.7,2,2021ApJS..253....7K,1202.2,0.8,-1365.4,0.8,2021ApJS..253....7K,,,,Y0,2014AJ....147..113C,NIR Spec,20,,24.06,,,,,,,,22.58,22.48,,,,,,WISE J220905.73+271143.9,,,,,...
177,98,EGGR 372,WD,EGGR 372,267.016122905148,70.8815738143448,2016,160.995244920088,0.011894624,2020yCat.1350....0G,-1266.38717079764,0.015870238,1108.80071046993,0.016470628,2020yCat.1350....0G,,,,DQ9P,2009AJ....138.1681S,Opt Spec,3,13.778201,,14.179064,13.176234,,14.55,,13.5,,12.709,12.528,12.507,,,Gaia DR2 1638979384378696704,Gaia EDR3 1638979384378696704,EGGR 372,,GJ 1221,,,...
178,99,HN Lib,LM,BD-11 3759,218.568431756969,-12.5169238535929,2016,159.922547782496,0.054619387,2020yCat.1350....0G,-355.138115037755,0.052832775,593.040150754062,0.043415446,2020yCat.1350....0G,-1.426,0.0057,2018A&A...616A...7S,M3.5,2015AJ....149..106D,Opt Spec,3,9.894982,,11.569429,8.646179,14.041,12.915,11.317,10.093,8.473,6.838,6.262,5.939,,,Gaia DR2 6324325225803432320,Gaia EDR3 6324325225803432320,BD-11 3759,HN Lib,GJ 555,,HIP 71253,...
179,100,EQ Peg,LM,BD+19 5116 A,352.970123754505,19.9369928266029,2016,159.663392037219,0.03412789,2020yCat.1350....0G,578.008659358944,0.035451487,-59.7686048988235,0.02324439,2020yCat.1350....0G,0.31,0.18,2008MNRAS.390..567M,M3.5e,2015AJ....149..106D,Opt Spec,3,9.043998,,10.507311,7.8463645,,14.8,,12.165,,7.101,6.555,6.262,2018ApJ...856...39C,,Gaia DR2 2824770686019003904,Gaia EDR3 2824770686019003904,BD+19 5116 A,EQ Peg A,GJ 896,,HIP 116132,The spectroscopic binarity classification proposed by 1999A&A...344..897D is almost certainly due to activity
180,100,EQ Peg,LM,BD+19 5116 B,352.971675303063,19.9373137468669,2016,159.908460462522,0.051349618,2020yCat.1350....0G,552.349411962491,0.055147033,20.2746081980526,0.036104545,2020yCat.1350....0G,3.34,0.16,2008MNRAS.390..567M,M4e,2015AJ....149..106D,Opt Spec,3,10.828941,,12.704212,9.530133,,14.8,,12.165,,7.101,6.555,6.262,2018ApJ...856...39C,,Gaia DR2 2824770686019004032,Gaia EDR3 2824770686019004032,BD+19 5116 B,EQ Peg B,GJ 896 B,,,The spectroscopic binarity classification proposed by 1999A&A...344..897D is almost certainly due to activity
181,101,HO Lib,LM,GJ 581,229.856301333292,-7.7227070241579,2016,158.718272964632,0.030101538,2020yCat.1350....0G,-1221.27762896537,0.03665181,-97.2292386185803,0.026740635,2020yCat.1350....0G,-9.421,0.0099,2018A&A...616A...7S,M3,2019A&A...625A..68S,Opt Spec,3,9.421787,,10.813405,8.251837,13.403,11.76,10.56,9.461,8.911,6.706,6.095,5.837,,3,Gaia DR2 6322070093095493504,Gaia EDR3 6322070093095493504,BD-07 4003,HO Lib,GJ 581,,HIP 74995,GJ 581 d f g: controversial planets
182,101,HO Lib,Planet,GJ 581 b,229.856301333292,-7.7227070241579,2016,158.718272964632,0.030101538,FROM:GJ581,,,,,,,,,,,,,,,,,,,,,,,,,2009A&A...507..487M,,,,,,,,,...
183,101,HO Lib,Planet,GJ 581 c,229.856301333292,-7.7227070241579,2016,158.718272964632,0.030101538,FROM:GJ581,,,,,,,,,,,,,,,,,,,,,,,,,2018A&A...609A.117T,,,,,,,,,...
184,101,HO Lib,Planet,GJ 581 e,229.856301333292,-7.7227070241579,2016,158.718272964632,0.030101538,FROM:GJ581,,,,,,,,,,,,,,,,,,,,,,,,,2014Sci...345..440R,,,,,,,,,...
185,102,WISE J140518.39+553421.3,BD,WISE J140518.39+553421.3,211.32062,55.572896,2015.7,158.2,2.6,2021ApJS..253....7K,-2334.8,1.2,226.8,1,2021ApJS..253....7K,,,,Y0(pec?),2011ApJS..197...19K,NIR Spec,20,,24.38,,,,,,,,21.06,21.41,21.61,,,,,WISE J140518.39+553421.3,,,,,...
186,103,MCC 541,LM,GJ 338 A,138.583561615224,52.6840801669126,2016,157.887930779239,0.019652834,2020yCat.1350....0G,-1545.78745206047,0.017731367,-569.052823523412,0.017665254,2020yCat.1350....0G,11.245,0.0063,2018A&A...616A...7S,M0,2015A&A...577A.128A,Opt Spec,3,6.976026,,7.8634076,6.046104,,9.388,,6.8,,4.89,3.987,3.99,2020A&A...637A..93G,,Gaia DR2 1022456139210632064,Gaia EDR3 1022456139210632064,HD 79210,,GJ 338 A,HD 79210,,...
187,103,MCC 541,LM,GJ 338 B,138.591311796669,52.6834294418404,2016,157.88249112606,0.021135049,2020yCat.1350....0G,-1573.0402244551,0.017991045,-659.906000812353,0.018531306,2020yCat.1350....0G,12.104,0.003,2018A&A...616A...7S,M0,2015A&A...577A.128A,Opt Spec,3,7.054455,,7.9594064,6.1129565,,7.966,,6.8,,4.779,4.043,4.14,2020A&A...637A..93G,1,Gaia DR2 1022456104850892928,Gaia EDR3 1022456104850892928,HD 79211,,GJ 338 B,HD 79211,HIP 120005,...
188,103,MCC 541,Planet,GJ 338 B b,138.591311796669,52.6834294418404,2016,157.88249112606,0.021135049,FROM:GJ338B,,,,,,,,,,,,,,,,,,,,,,,,,2020A&A...637A..93G,,,,,,,,,...
189,104,LP 368-128,LM,LP 368-128,135.095643322213,21.8320625969277,2016,157.268576545613,0.053540938,2020yCat.1350....0G,-514.942246299456,0.05746422,-592.253397977563,0.045126263,2020yCat.1350....0G,8.114,0.071,2020A&A...636A..36L,M6.5,2015A&A...577A.128A,Opt Spec,3,13.413064,,16.35116,11.9515915,,17.3,16.1,14.09,11.85,9.436,8.836,8.437,,,Gaia DR2 685103912857072640,Gaia EDR3 685103912857072640,LP 368-128,,,,,...
190,105,2MASS J15031961+2525196,BD,2MASS J15031961+2525196,225.832142258593,25.4246444898197,2016,155.775829705122,0.7557141,2020yCat.1350....0G,87.4143782614343,0.61301595,557.780130236065,0.69490254,2020yCat.1350....0G,,,,T5.5,2003AJ....125..850B,Opt Spec,3,20.300144,,21.805626,18.523335,,,,,,13.937,13.856,13.963,,,Gaia DR2 1267906854386665088,Gaia EDR3 1267906854386665088,2MASS J15031961+2525196,,,,,...
191,106,LP 944-20,LM,LP 944-20,54.8985702067773,-35.4275936398811,2016,155.598213115195,0.052201733,2020yCat.1350....0G,309.001023724768,0.049672123,269.058432175476,0.06412824,2020yCat.1350....0G,7.43,0.72,2016ApJS..225...10F,M9,2002AJ....124..519R,Opt Spec,3,15.439572,,18.944666,13.887415,,,18.69,16.39,13.288,10.725,10.017,9.548,,,Gaia DR2 4860376345833699840,Gaia EDR3 4860376345833699840,LP 944-20,,,,,...
192,107,EGGR 45,WD,EGGR 45,88.7920955577365,-4.17892709155259,2016,155.237347218079,0.01745606,2020yCat.1350....0G,535.248552979492,0.017166171,-2317.01134021908,0.01493966,2020yCat.1350....0G,59,20,1993AJ....105.1033A,DZ11,2009AJ....138.1681S,Opt Spec,3,14.236672,,14.726641,13.592983,,15.49,14.45,13.994,13.538,13.047,12.86,12.777,,,Gaia DR2 3022956969731332096,Gaia EDR3 3022956969731332096,EGGR 45,HL 4,GJ 9193,,,...
193,108,GL Vir,LM,GL Vir,184.741747344594,11.1269523720275,2016,154.699936607226,0.044472538,2020yCat.1350....0G,-1269.77073662688,0.055529255,203.444138200168,0.03325841,2020yCat.1350....0G,5.681,0.053,2020A&A...636A..36L,M4.5e,2015AJ....149..106D,Opt Spec,3,11.926109,,14.100482,10.567221,,15.68,13.9,13.55,,8.525,7.88,7.57,,,Gaia DR2 3907283967108054528,Gaia EDR3 3907283967108054528,GL Vir,,GJ 1156,,,...
194,109,G 202-48,LM,GJ 625,246.355888332817,54.3033386656046,2016,154.350268392469,0.01610215,2020yCat.1350....0G,432.230235889887,0.019171849,-171.651926788951,0.022313258,2020yCat.1350....0G,-13.059,0.0116,2018A&A...616A...7S,M1.5,2015A&A...577A.128A,Opt Spec,3,9.139769,,10.345348,8.049889,,11.78,10.07,9.66,,6.608,6.063,5.833,,1,Gaia DR2 1428427236986209024,Gaia EDR3 1428427236986209024,G 202-48,,GJ 625,,HIP 80459,...
195,109,G 202-48,Planet,GJ 625 b,246.355888332817,54.3033386656046,2016,154.350268392469,0.01610215,FROM:GJ625,,,,,,,,,,,,,,,,,,,,,,,,,2017A&A...605A..92S,,,,,,,,,...
196,110,HD 152751,LM,GJ 644 A,253.893246271489,-8.39852302311483,2016,153.965865199531,0.057011306,FROM:GJ644C,-813.037505755344,0.06271196,-870.609351533518,0.044425607,FROM:GJ644C,,,,M3e,2014MNRAS.443.2561G,Opt Spec,3,8.2712,,9.252586,6.7481246,11.647,10.593,9.023,7.937,6.565,5.27,4.775,4.403,1999MNRAS.308..111K,,Gaia DR2 4339465085630200960,Gaia EDR3 4339465085630200960,GJ 644 A,V1054 Oph,GJ 644 A,HD 152751 A,HIP 82817,Hipparcos parallax 161.41 pm 5.64 mas	2007A&A...474..653V
197,110,HD 152751,LM?,GJ 644 Ba,253.893246271489,-8.39852302311483,2016,153.965865199531,0.057011306,FROM:GJ644C,-813.037505755344,0.06271196,-870.609351533518,0.044425607,FROM:GJ644C,,,,,,,,,,,,,,,,,,,,2004A&A...424..727P,,,,GJ 644 B,,GJ 644 B,HD 152751 Ba,,Possible M dwarf
198,110,HD 152751,LM?,GJ 644 Bb,253.893246271489,-8.39852302311483,2016,153.965865199531,0.057011306,FROM:GJ644C,-813.037505755344,0.06271196,-870.609351533518,0.044425607,FROM:GJ644C,,,,,,,,,,,,,,,,,,,,2004A&A...424..727P,,,,GJ 644 B,,GJ 644 B,HD 152751 Bb,,Possible M dwarf
199,110,HD 152751,LM,GJ 644 C,253.893246271489,-8.39852302311483,2016,153.965865199531,0.057011306,2020yCat.1350....0G,-813.037505755344,0.06271196,-870.609351533518,0.044425607,2020yCat.1350....0G,14.409,0.028,2020A&A...636A..36L,M7,2015A&A...577A.128A,Opt Spec,3,13.813289,,17.05317,12.324193,,18.7,16.916,14.566,12.24,9.776,9.201,8.816,1999MNRAS.308..111K,,Gaia DR2 4339417394313320192,Gaia EDR3 4339417394313320192,GJ 644 C,VB 8,GJ 644 C,,,...
200,110,HD 152751,LM,GJ 643,253.851420325809,-8.32657626383978,2016,153.87539543012,0.047417864,2020yCat.1350....0G,-817.580275058057,0.052498914,-898.594967723842,0.03971254,2020yCat.1350....0G,15.498,0.025,2020A&A...636A..36L,M3.5,2019A&A...625A..68S,Opt Spec,3,10.444497,,12.005681,9.227242,14.691,13.436,11.759,10.574,9.044,7.555,7.056,6.724,1957AJ.....62..379F,,Gaia DR2 4339465360508118912,Gaia EDR3 4339465360510320128,Wolf 629,,GJ 643,,HIP 82809,...
201,111,L 100-115,LM,L 100-115,145.692160124438,-68.879985378753,2016,153.759345373227,0.02489855,2020yCat.1350....0G,-75.8282413684787,0.029123876,1128.84881418566,0.028421892,2020yCat.1350....0G,,,,M4,2014AJ....148...91L,Opt Spec,3,11.133258,,12.993792,9.839672,,14.51,12.78,11.35,9.61,7.953,7.38,7.037,,,Gaia DR2 5243594081269535872,Gaia EDR3 5243594081269535872,L 100-115,,GJ 1128,,,...
202,112,HD 219134,*,HD 219134,348.33773395483,57.1696664427431,2016,152.864003897324,0.049440492,2020yCat.1350....0G,2074.41351199918,0.050308358,294.451977279658,0.04295604,2020yCat.1350....0G,-18.475,0.0361,2018A&A...616A...7S,K3,2018ApJS..238...29P,NIR Spec,3,5.2318964,,5.766576,4.5502343,7.46,6.56,5.57,4.76,4.23,3.86,3.4,3.25,,4,Gaia DR2 2009481748875806976,Gaia EDR3 2009481748875806976,HD 219134,,GJ 892,HD 219134,HIP 114622,HD 219134 e g: unconfirmed planets 2016ApJ...821...74J 2015ApJ...814...12V
203,112,HD 219134,Planet,HD 219134 b,348.33773395483,57.1696664427431,2016,152.864003897324,0.049440492,FROM:HD219134,,,,,,,,,,,,,,,,,,,,,,,,,2017NatAs...1E..56G,,,,,,,,,...
204,112,HD 219134,Planet,HD 219134 c,348.33773395483,57.1696664427431,2016,152.864003897324,0.049440492,FROM:HD219134,,,,,,,,,,,,,,,,,,,,,,,,,2017NatAs...1E..56G,,,,,,,,,...
205,112,HD 219134,Planet,HD 219134 d,348.33773395483,57.1696664427431,2016,152.864003897324,0.049440492,FROM:HD219134,,,,,,,,,,,,,,,,,,,,,,,,,2017NatAs...1E..56G,,,,,,,,,...
206,112,HD 219134,Planet,HD 219134 f,348.33773395483,57.1696664427431,2016,152.864003897324,0.049440492,FROM:HD219134,,,,,,,,,,,,,,,,,,,,,,,,,2017NatAs...1E..56G,,,,,,,,,...
207,113,WISEA J082507.37+280548.2,BD,WISEA J082507.37+280548.2,126.280525,28.096445,2015.6,152.6,2,2021ApJS..253....7K,-66.7,0.9,-235.8,0.9,2021ApJS..253....7K,,,,Y0.5,2015ApJ...804...92S,NIR Spec,20,,24.28,,,,,,,,22.53,23.09,,,,,,WISEA J082507.37+280548.2,,,,,...
208,114,WISE J041022.71+150248.4,BD,WISE J041022.71+150248.4,62.596159,15.043733,2015.1,151.3,2,2021ApJS..253....7K,960.3,2,-2219.4,0.8,2021ApJS..253....7K,,,,Y0,2011ApJS..197...19K,NIR Spec,20,,23.16,,,,,,,,19.44,19.05,19.91,,,,,WISE J041022.71+150248.4,,,,,...
209,115,2MASS J05212615+1025328,BD,2MASS J05212615+1025328,80.359997,10.423818,2016.8,150.2,3,2021ApJS..253....7K,223.7,2.5,-438.3,2.5,2021ApJS..253....7K,,,,T7.5,2013A&A...557A..43B,NIR Spec,20,,24.25,,,,,,,,15.471,15.222,14.797,,,,,2MASS J05212615+1025328,,,,,...
210,116,L 471-42,LM,L 471-42,189.700805435738,-38.3874091243768,2016,150.078109264268,0.032217305,2020yCat.1350....0G,-665.16364982892,0.032372553,-1312.63846044925,0.025047397,2020yCat.1350....0G,,,,M4,2006AJ....132.2360H,Opt Spec,3,11.226226,,13.010629,9.951601,,14.43,12.74,12.473,,8.174,7.756,7.386,,,Gaia DR2 6153483658836320384,Gaia EDR3 6153483658836320384,L 471-42,,GJ 3737,,,...
211,117,Ross 104,LM,Ross 104,165.015678602396,22.8317023026594,2016,148.198550310563,0.02533127,2020yCat.1350....0G,-426.957722157685,0.024254516,-282.298403195064,0.023139184,2020yCat.1350....0G,3.155,0.0048,2018A&A...616A...7S,M2.5,2019A&A...625A..68S,Opt Spec,3,8.977005,,10.275288,7.8457494,12.826,11.584,10.02,8.952,7.646,6.314,5.76,5.503,,,Gaia DR2 3988987164339438208,Gaia EDR3 3988987164339438208,Ross 104,,GJ 408,,HIP 53767,...
